rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,opponent
1,5.0,01:00:50,91270.0,1,0,7,3,rush,,1.0,2.0,7,660.0,423.0,1.0,7,660.0,423.0,Hanging Net,Opponent Hanging Net,A,,7,661.0,414.0,8,630.0,538.0,0,11
2,14.0,01:01:18,91960.0,2,0,7,3,smash,,,2.0,3,498.0,326.0,1.0,11,906.0,565.0,Well Wide,Opponent Well Wide,A,,3,506.0,325.0,8,605.0,598.0,0,11
3,16.0,01:02:03,93083.0,3,0,7,3,push,,1.0,1.0,7,769.0,405.0,2.0,12,927.0,653.0,Well Wide,Opponent Well Wide,A,,8,684.0,386.0,8,653.0,581.0,0,11
4,14.0,01:02:35,93887.0,4,0,7,3,return net,,1.0,1.0,8,731.0,359.0,2.0,11,884.0,338.0,Net Error,Opponent Net Error,A,,8,672.0,351.0,9,767.0,637.0,0,11
5,10.0,01:03:22,95062.0,5,0,7,3,drive,,1.0,1.0,8,747.0,362.0,2.0,2,823.0,404.0,Net Error,Opponent Net Error,A,,8,721.0,358.0,3,848.0,640.0,0,11
6,32.0,01:04:22,96574.0,5,1,7,3,net shot,,,1.0,1,492.0,410.0,2.0,2,415.0,469.0,Opponent Shuttle Landing,Shuttle Landing,B,,7,541.0,405.0,8,575.0,553.0,0,11
7,14.0,01:05:01,97530.0,5,2,11,3,return net,,1.0,1.0,5,805.0,573.0,2.0,11,850.0,353.0,Well Wide,Opponent Well Wide,B,,8,695.0,580.0,8,580.0,344.0,0,7
8,13.0,01:05:35,98394.0,5,3,7,3,clear,1.0,,2.0,4,772.0,324.0,1.0,3,850.0,660.0,Shuttle Location Judgement Error,Opponent Shuttle Location Judgement Error,B,,8,720.0,334.0,8,664.0,597.0,0,11
9,20.0,01:06:52,100321.0,6,3,11,3,rush,,1.0,1.0,1,802.0,475.0,2.0,9,725.0,324.0,Opponent Shuttle Landing,Shuttle Landing,A,,7,765.0,488.0,8,751.0,386.0,0,7
10,22.0,01:08:02,102070.0,7,3,7,3,push,,1.0,1.0,7,760.0,427.0,2.0,7,768.0,450.0,Hanging Net,Opponent Hanging Net,A,,7,726.0,411.0,8,705.0,544.0,0,11
11,14.0,01:08:54,103366.0,7,4,7,3,drop,,,2.0,8,525.0,341.0,1.0,6,445.0,526.0,Opponent Shuttle Landing,Shuttle Landing,B,,9,560.0,323.0,8,597.0,569.0,0,11
12,6.0,01:09:22,104050.0,7,5,11,3,cross-court net shot,,,1.0,7,507.0,493.0,2.0,7,641.0,469.0,Hanging Net,Opponent Hanging Net,B,,2,502.0,507.0,8,549.0,387.0,0,7
13,5.0,01:09:44,104605.0,8,5,7,3,push,,,1.0,1,515.0,415.0,2.0,13,809.0,680.0,Well Wide,Opponent Well Wide,A,,8,578.0,390.0,8,565.0,581.0,0,11
14,14.0,01:10:23,105594.0,9,5,7,3,return net,,1.0,2.0,8,598.0,381.0,1.0,16,386.0,481.0,Well Wide,Opponent Well Wide,A,,8,597.0,360.0,8,524.0,624.0,0,11
